Quê quán,Tuổi tác,Giới tính,Nghề nghiệp,Thu nhập (triệu),Ngân sách thuê nhà (triệu),Thói quen sinh hoạt,Yêu cầu tiện nghi,Địa điểm mục tiêu,Khu vực mong muốn,Diện tích (m2),Số phòng
Phú Thọ,30,Nam,Công nhân,13,2,Không quan trọng,"['Nhà vệ sinh riêng', 'Chỗ để xe', 'Bếp']","{'Latitude': 11.467265, 'Longitude': 106.842794}",Thanh Oai,22,1
Bắc Ninh,27,Nam,Kỹ sư,17,5,Thích yên tĩnh,"['Máy lạnh', 'Bếp', 'An ninh tốt']","{'Latitude': 22.411471, 'Longitude': 102.300472}",Hoàng Mai,41,4
Lai Châu,31,Nam,Freelancer,7,5,Nuôi thú cưng,['Máy lạnh'],"{'Latitude': 12.591871, 'Longitude': 109.237265}",Hoàn Kiếm,33,1
Hải Dương,32,Nam,Phục vụ,10,1,Nuôi thú cưng,"['Chỗ để xe', 'Bếp']","{'Latitude': 14.221861, 'Longitude': 103.693586}",Đống Đa,29,4
Lào Cai,34,Nữ,Phục vụ,8,5,Nuôi thú cưng,"['Nội thất sẵn', 'An ninh tốt']","{'Latitude': 10.933271, 'Longitude': 109.292876}",Ba Đình,24,3
Lào Cai,34,Nam,Phục vụ,19,1,Nuôi thú cưng,['An ninh tốt'],"{'Latitude': 14.306122, 'Longitude': 104.363146}",Thường Tín,35,4
Hà Giang,29,Nam,Nhân viên văn phòng,14,2,Thích yên tĩnh,"['Chỗ để xe', 'An ninh tốt', 'Máy lạnh', 'Nội thất sẵn']","{'Latitude': 13.777707, 'Longitude': 105.085324}",Ba Vì,35,2
Bắc Giang,35,Nam,Nhân viên văn phòng,13,3,Không quan trọng,"['Máy lạnh', 'Bếp']","{'Latitude': 9.438286, 'Longitude': 109.25837}",Tây Hồ,24,4
Lào Cai,24,Nữ,Nhân viên văn phòng,11,1,Không quan trọng,"['Nội thất sẵn', 'Nhà vệ sinh riêng', 'Máy lạnh', 'An ninh tốt']","{'Latitude': 21.596708, 'Longitude': 106.362772}",Hoàng Mai,46,4
Nam Định,26,Nữ,Công nhân,13,1,Thích yên tĩnh,"['Nhà vệ sinh riêng', 'Nội thất sẵn']","{'Latitude': 21.453371, 'Longitude': 105.361346}",Hà Đông,39,1
Yên Bái,32,Nữ,Phục vụ,19,5,Không quan trọng,"['Bếp', 'Máy lạnh', 'Nội thất sẵn', 'Chỗ để xe']","{'Latitude': 18.262532, 'Longitude': 104.965792}",Ba Đình,39,3
Phú Thọ,26,Nữ,Phục vụ,6,1,Nuôi thú cưng,"['Máy lạnh', 'An ninh tốt', 'Nội thất sẵn', 'Bếp']","{'Latitude': 19.524572, 'Longitude': 108.584266}",Chương Mỹ,40,2
Hà Giang,23,Nữ,Nhân viên văn phòng,13,5,Nuôi thú cưng,['Chỗ để xe'],"{'Latitude': 21.412319, 'Longitude': 109.424484}",Phúc Thọ,43,4
Thái Nguyên,23,Nữ,Kỹ sư,13,2,Không quan trọng,"['Bếp', 'An ninh tốt', 'Chỗ để xe', 'Máy lạnh']","{'Latitude': 9.845491, 'Longitude': 104.257665}",Quốc Oai,26,1
Quảng Ninh,23,Nữ,Công nhân,12,1,Không quan trọng,"['An ninh tốt', 'Máy lạnh', 'Nhà vệ sinh riêng']","{'Latitude': 9.361677, 'Longitude': 104.75369}",Bắc Từ Liêm,38,1
Bắc Giang,19,Nam,Sinh viên,10,3,Thích yên tĩnh,"['Chỗ để xe', 'Bếp', 'Máy lạnh']","{'Latitude': 10.500606, 'Longitude': 106.535239}",Tây Hồ,50,4
Lai Châu,24,Nữ,Công nhân,20,2,Nuôi thú cưng,"['Bếp', 'Chỗ để xe', 'Máy lạnh']","{'Latitude': 15.675476, 'Longitude': 109.049843}",Tây Hồ,15,2
Sơn La,24,Nam,Kỹ sư,6,1,Không quan trọng,"['Chỗ để xe', 'Máy lạnh', 'Bếp']","{'Latitude': 11.204711, 'Longitude': 105.653672}",Quốc Oai,45,1
Yên Bái,19,Nữ,Sinh viên,8,3,Không quan trọng,"['Máy lạnh', 'Bếp', 'Nội thất sẵn']","{'Latitude': 11.500189, 'Longitude': 104.581242}",Thanh Oai,47,4
Vĩnh Phúc,23,Nữ,Phục vụ,13,1,Nuôi thú cưng,['Máy lạnh'],"{'Latitude': 14.070931, 'Longitude': 107.911109}",Sơn Tây,34,3
Tuyên Quang,23,Nam,Freelancer,5,1,Thích yên tĩnh,"['An ninh tốt', 'Chỗ để xe', 'Bếp', 'Nội thất sẵn']","{'Latitude': 16.16826, 'Longitude': 105.871883}",Phúc Thọ,47,4
Lai Châu,34,Nữ,Công nhân,12,2,Không quan trọng,"['Nội thất sẵn', 'Bếp']","{'Latitude': 19.654686, 'Longitude': 107.138715}",Sơn Tây,37,2
Hà Giang,31,Nam,Kỹ sư,10,2,Nuôi thú cưng,"['An ninh tốt', 'Nhà vệ sinh riêng', 'Chỗ để xe']","{'Latitude': 13.233905, 'Longitude': 104.540117}",Phú Xuyên,18,2
Hưng Yên,35,Nam,Freelancer,16,3,Thích yên tĩnh,"['Bếp', 'Nhà vệ sinh riêng', 'An ninh tốt', 'Máy lạnh']","{'Latitude': 16.740166, 'Longitude': 105.29393}",Quốc Oai,17,1
Điện Biên,35,Nam,Phục vụ,10,2,Thích yên tĩnh,['Chỗ để xe'],"{'Latitude': 11.757367, 'Longitude': 108.812906}",Đan Phượng,48,4
Lạng Sơn,34,Nữ,Kỹ sư,20,1,Thích yên tĩnh,"['An ninh tốt', 'Máy lạnh', 'Bếp']","{'Latitude': 9.428035, 'Longitude': 103.762701}",Sóc Sơn,25,3
Quảng Ninh,33,Nữ,Freelancer,17,4,Thích yên tĩnh,"['Nội thất sẵn', 'An ninh tốt']","{'Latitude': 16.507898, 'Longitude': 109.031679}",Hà Đông,15,1
Hưng Yên,31,Nam,Kỹ sư,7,3,Thích yên tĩnh,"['Bếp', 'An ninh tốt', 'Máy lạnh', 'Nhà vệ sinh riêng']","{'Latitude': 14.444514, 'Longitude': 105.206118}",Sơn Tây,11,3
Yên Bái,35,Nam,Kỹ sư,11,3,Không quan trọng,"['Nhà vệ sinh riêng', 'Máy lạnh']","{'Latitude': 17.830482, 'Longitude': 109.319716}",Ba Vì,26,3
Cao Bằng,32,Nữ,Công nhân,8,5,Thích yên tĩnh,"['Máy lạnh', 'Chỗ để xe', 'Bếp']","{'Latitude': 12.459507, 'Longitude': 108.851734}",Hai Bà Trưng,27,2
Lai Châu,33,Nữ,Nhân viên văn phòng,5,1,Nuôi thú cưng,"['Chỗ để xe', 'Bếp', 'Nội thất sẵn']","{'Latitude': 18.350683, 'Longitude': 102.893298}",Hà Đông,25,4
Ninh Bình,27,Nữ,Phục vụ,9,4,Không quan trọng,['Máy lạnh'],"{'Latitude': 10.829416, 'Longitude': 104.675903}",Gia Lâm,19,4
Hải Dương,27,Nam,Freelancer,7,4,Không quan trọng,"['Chỗ để xe', 'Bếp', 'Nhà vệ sinh riêng']","{'Latitude': 18.233492, 'Longitude': 103.12045}",Bắc Từ Liêm,42,3
Hải Phòng,27,Nam,Phục vụ,7,3,Nuôi thú cưng,"['Nội thất sẵn', 'Nhà vệ sinh riêng', 'Máy lạnh', 'An ninh tốt']","{'Latitude': 9.27975, 'Longitude': 108.2477}",Long Biên,26,1
Thái Nguyên,27,Nam,Nhân viên văn phòng,12,4,Thích yên tĩnh,['Chỗ để xe'],"{'Latitude': 21.36687, 'Longitude': 106.084808}",Chương Mỹ,20,4
Điện Biên,28,Nam,Kỹ sư,5,2,Không quan trọng,['Nội thất sẵn'],"{'Latitude': 17.727376, 'Longitude': 106.015516}",Tây Hồ,25,4
Bắc Giang,34,Nữ,Freelancer,19,5,Thích yên tĩnh,"['An ninh tốt', 'Bếp', 'Nội thất sẵn']","{'Latitude': 13.805458, 'Longitude': 106.665449}",Đan Phượng,29,3
Sơn La,24,Nam,Kỹ sư,19,4,Nuôi thú cưng,['Chỗ để xe'],"{'Latitude': 13.06772, 'Longitude': 108.381557}",Đông Anh,40,4
Lạng Sơn,35,Nữ,Freelancer,15,4,Thích yên tĩnh,"['Bếp', 'Máy lạnh', 'Nhà vệ sinh riêng']","{'Latitude': 23.009188, 'Longitude': 108.848572}",Thanh Trì,35,1
Yên Bái,21,Nữ,Sinh viên,6,5,Không quan trọng,['Máy lạnh'],"{'Latitude': 21.746188, 'Longitude': 103.297388}",Phúc Thọ,34,3
Sơn La,24,Nữ,Phục vụ,18,1,Thích yên tĩnh,"['Nội thất sẵn', 'Chỗ để xe']","{'Latitude': 14.796396, 'Longitude': 106.775745}",Cầu Giấy,47,4
Bắc Ninh,31,Nam,Phục vụ,6,5,Không quan trọng,"['Nội thất sẵn', 'Bếp']","{'Latitude': 21.27616, 'Longitude': 105.542815}",Hà Đông,25,3
Vĩnh Phúc,26,Nam,Nhân viên văn phòng,7,4,Nuôi thú cưng,"['Bếp', 'Máy lạnh', 'Chỗ để xe', 'An ninh tốt']","{'Latitude': 23.213032, 'Longitude': 106.444978}",Đống Đa,27,2
Nam Định,30,Nam,Freelancer,16,4,Nuôi thú cưng,"['Nội thất sẵn', 'Bếp', 'Chỗ để xe']","{'Latitude': 20.494539, 'Longitude': 103.124523}",Thường Tín,43,2
Thái Nguyên,24,Nam,Kỹ sư,9,1,Nuôi thú cưng,"['Nội thất sẵn', 'Bếp']","{'Latitude': 12.333628, 'Longitude': 105.648107}",Sóc Sơn,15,1
Hòa Bình,30,Nam,Nhân viên văn phòng,15,1,Không quan trọng,"['Máy lạnh', 'An ninh tốt', 'Nhà vệ sinh riêng']","{'Latitude': 13.423174, 'Longitude': 108.328983}",Phú Xuyên,17,4
Hải Dương,21,Nữ,Sinh viên,10,1,Không quan trọng,"['Chỗ để xe', 'Máy lạnh']","{'Latitude': 13.805683, 'Longitude': 104.983448}",Thanh Xuân,38,4
Ninh Bình,24,Nữ,Kỹ sư,11,1,Không quan trọng,['Bếp'],"{'Latitude': 22.275406, 'Longitude': 107.882604}",Nam Từ Liêm,48,1
Lạng Sơn,25,Nam,Kỹ sư,20,4,Nuôi thú cưng,"['An ninh tốt', 'Nhà vệ sinh riêng']","{'Latitude': 11.033163, 'Longitude': 105.711316}",Ba Đình,27,4
Sơn La,26,Nữ,Kỹ sư,5,4,Thích yên tĩnh,"['Máy lạnh', 'Nhà vệ sinh riêng']","{'Latitude': 14.997594, 'Longitude': 106.065784}",Ba Đình,13,2
Hải Dương,26,Nữ,Kỹ sư,13,3,Thích yên tĩnh,"['An ninh tốt', 'Máy lạnh', 'Nhà vệ sinh riêng', 'Nội thất sẵn']","{'Latitude': 11.816499, 'Longitude': 107.116595}",Ba Vì,39,1
Quảng Ninh,27,Nữ,Nhân viên văn phòng,11,2,Không quan trọng,['Chỗ để xe'],"{'Latitude': 16.479972, 'Longitude': 105.457008}",Ứng Hòa,16,1
Sơn La,22,Nam,Sinh viên,10,1,Nuôi thú cưng,"['Chỗ để xe', 'An ninh tốt', 'Nội thất sẵn']","{'Latitude': 20.97747, 'Longitude': 107.728283}",Sóc Sơn,41,1
Bắc Kạn,33,Nữ,Kỹ sư,16,5,Không quan trọng,"['An ninh tốt', 'Nhà vệ sinh riêng', 'Nội thất sẵn', 'Chỗ để xe']","{'Latitude': 13.866076, 'Longitude': 102.510126}",Hai Bà Trưng,44,1
Bắc Giang,24,Nữ,Phục vụ,11,5,Nuôi thú cưng,"['Chỗ để xe', 'Nhà vệ sinh riêng']","{'Latitude': 21.096336, 'Longitude': 106.196005}",Sơn Tây,41,2
Lào Cai,32,Nam,Công nhân,11,3,Thích yên tĩnh,['Nội thất sẵn'],"{'Latitude': 11.59136, 'Longitude': 107.404904}",Gia Lâm,42,3
Thái Bình,34,Nam,Freelancer,12,1,Nuôi thú cưng,"['Nhà vệ sinh riêng', 'An ninh tốt']","{'Latitude': 20.419122, 'Longitude': 107.620025}",Thanh Xuân,35,1
Thái Bình,20,Nam,Sinh viên,2,3,Nuôi thú cưng,"['Bếp', 'Nhà vệ sinh riêng', 'Chỗ để xe', 'Nội thất sẵn']","{'Latitude': 8.183251, 'Longitude': 102.860912}",Long Biên,38,2
Nam Định,25,Nữ,Nhân viên văn phòng,6,5,Không quan trọng,"['Chỗ để xe', 'Nhà vệ sinh riêng', 'Máy lạnh']","{'Latitude': 15.769836, 'Longitude': 103.067051}",Thanh Xuân,49,3
Hải Dương,32,Nữ,Công nhân,20,3,Nuôi thú cưng,"['Nhà vệ sinh riêng', 'Bếp', 'Máy lạnh', 'Chỗ để xe']","{'Latitude': 10.220037, 'Longitude': 108.042257}",Long Biên,24,3
Lào Cai,30,Nữ,Công nhân,12,1,Thích yên tĩnh,"['Bếp', 'Nội thất sẵn', 'Chỗ để xe']","{'Latitude': 14.24151, 'Longitude': 104.954031}",Ba Vì,41,3
Thái Nguyên,27,Nam,Công nhân,12,5,Nuôi thú cưng,"['An ninh tốt', 'Chỗ để xe', 'Máy lạnh', 'Nội thất sẵn']","{'Latitude': 22.55423, 'Longitude': 107.674911}",Thanh Oai,37,2
Bắc Ninh,28,Nam,Nhân viên văn phòng,6,1,Nuôi thú cưng,"['Chỗ để xe', 'An ninh tốt']","{'Latitude': 15.686729, 'Longitude': 108.581232}",Hoàng Mai,26,4
Tuyên Quang,29,Nam,Freelancer,5,4,Thích yên tĩnh,"['Máy lạnh', 'Bếp', 'Chỗ để xe', 'Nhà vệ sinh riêng']","{'Latitude': 22.718763, 'Longitude': 102.963471}",Long Biên,38,1
Cao Bằng,27,Nữ,Công nhân,11,5,Thích yên tĩnh,"['Bếp', 'Nội thất sẵn', 'Máy lạnh', 'Chỗ để xe']","{'Latitude': 8.951129, 'Longitude': 107.865993}",Thanh Oai,17,1
Vĩnh Phúc,18,Nữ,Sinh viên,2,4,Thích yên tĩnh,['Nhà vệ sinh riêng'],"{'Latitude': 14.651792, 'Longitude': 105.633158}",Thường Tín,22,1
Yên Bái,28,Nam,Kỹ sư,17,1,Nuôi thú cưng,"['Nội thất sẵn', 'Nhà vệ sinh riêng']","{'Latitude': 16.020314, 'Longitude': 109.455884}",Đông Anh,46,2
Hà Giang,28,Nữ,Freelancer,16,3,Nuôi thú cưng,"['Bếp', 'Nhà vệ sinh riêng']","{'Latitude': 11.938297, 'Longitude': 102.364393}",Thanh Oai,40,4
Hà Nam,29,Nam,Freelancer,6,1,Thích yên tĩnh,"['Bếp', 'Nội thất sẵn', 'Nhà vệ sinh riêng', 'Chỗ để xe']","{'Latitude': 16.527483, 'Longitude': 108.18651}",Sơn Tây,37,3
Nam Định,28,Nam,Freelancer,5,5,Nuôi thú cưng,"['An ninh tốt', 'Máy lạnh', 'Nội thất sẵn', 'Chỗ để xe']","{'Latitude': 8.495243, 'Longitude': 102.851833}",Thanh Xuân,29,1
Thái Bình,35,Nữ,Kỹ sư,18,1,Không quan trọng,"['Nội thất sẵn', 'Chỗ để xe']","{'Latitude': 12.683586, 'Longitude': 107.348319}",Thanh Oai,13,2
Lạng Sơn,31,Nam,Kỹ sư,16,1,Nuôi thú cưng,"['Nội thất sẵn', 'Máy lạnh', 'Bếp', 'Chỗ để xe']","{'Latitude': 17.425972, 'Longitude': 105.313756}",Long Biên,46,3
Bắc Kạn,22,Nữ,Sinh viên,2,5,Không quan trọng,"['Bếp', 'Máy lạnh', 'Nhà vệ sinh riêng']","{'Latitude': 19.975698, 'Longitude': 108.213561}",Tây Hồ,20,1
Phú Thọ,35,Nữ,Kỹ sư,11,5,Không quan trọng,"['Nội thất sẵn', 'Bếp', 'An ninh tốt']","{'Latitude': 19.11187, 'Longitude': 104.57751}",Quốc Oai,40,3
Nam Định,25,Nam,Công nhân,16,1,Nuôi thú cưng,"['Chỗ để xe', 'Nhà vệ sinh riêng']","{'Latitude': 17.792571, 'Longitude': 105.253139}",Đan Phượng,45,3
Hưng Yên,31,Nam,Freelancer,19,2,Không quan trọng,['Chỗ để xe'],"{'Latitude': 12.52592, 'Longitude': 103.094196}",Sóc Sơn,34,3
Hòa Bình,32,Nam,Công nhân,18,4,Không quan trọng,['An ninh tốt'],"{'Latitude': 23.294082, 'Longitude': 107.152089}",Long Biên,26,2
Lạng Sơn,27,Nữ,Kỹ sư,6,2,Nuôi thú cưng,['Chỗ để xe'],"{'Latitude': 15.023306, 'Longitude': 103.304799}",Hoàn Kiếm,10,2
Bắc Kạn,25,Nữ,Công nhân,18,3,Nuôi thú cưng,['Nhà vệ sinh riêng'],"{'Latitude': 22.308986, 'Longitude': 104.321634}",Bắc Từ Liêm,29,3
Điện Biên,23,Nữ,Công nhân,16,1,Thích yên tĩnh,"['Chỗ để xe', 'Nội thất sẵn', 'Bếp', 'An ninh tốt']","{'Latitude': 12.164186, 'Longitude': 102.59992}",Hoàng Mai,16,2
Nam Định,35,Nam,Nhân viên văn phòng,16,3,Không quan trọng,"['Chỗ để xe', 'Bếp', 'Nhà vệ sinh riêng', 'Máy lạnh']","{'Latitude': 16.117941, 'Longitude': 104.296903}",Thanh Xuân,23,3
Lào Cai,28,Nam,Công nhân,5,1,Không quan trọng,"['Bếp', 'Nội thất sẵn', 'Máy lạnh']","{'Latitude': 22.78821, 'Longitude': 108.872897}",Hoài Đức,48,2
Cao Bằng,24,Nữ,Nhân viên văn phòng,15,3,Thích yên tĩnh,"['Chỗ để xe', 'Nhà vệ sinh riêng', 'Nội thất sẵn']","{'Latitude': 17.865493, 'Longitude': 104.487497}",Tây Hồ,42,4
Hà Nam,32,Nữ,Công nhân,18,2,Không quan trọng,"['Chỗ để xe', 'Bếp']","{'Latitude': 12.855915, 'Longitude': 108.794781}",Thạch Thất,17,4
Vĩnh Phúc,22,Nam,Sinh viên,2,5,Thích yên tĩnh,"['Máy lạnh', 'Nội thất sẵn', 'Chỗ để xe', 'Bếp']","{'Latitude': 18.271947, 'Longitude': 106.739908}",Đông Anh,10,2
Hòa Bình,29,Nam,Nhân viên văn phòng,16,2,Thích yên tĩnh,"['Máy lạnh', 'Chỗ để xe']","{'Latitude': 10.386649, 'Longitude': 103.192689}",Ba Vì,14,2
Lai Châu,23,Nam,Phục vụ,7,3,Không quan trọng,['Nhà vệ sinh riêng'],"{'Latitude': 12.939974, 'Longitude': 105.575522}",Ba Vì,25,1
Lạng Sơn,20,Nữ,Sinh viên,1,4,Thích yên tĩnh,"['Máy lạnh', 'Nhà vệ sinh riêng', 'Chỗ để xe']","{'Latitude': 21.82616, 'Longitude': 104.436248}",Tây Hồ,11,1
Lạng Sơn,25,Nam,Freelancer,12,2,Nuôi thú cưng,"['Chỗ để xe', 'Nhà vệ sinh riêng', 'Máy lạnh']","{'Latitude': 16.76582, 'Longitude': 105.652702}",Hà Đông,17,1
Bắc Giang,30,Nam,Công nhân,14,3,Nuôi thú cưng,"['An ninh tốt', 'Máy lạnh']","{'Latitude': 21.888294, 'Longitude': 107.247351}",Thanh Oai,32,4
Hải Phòng,22,Nam,Sinh viên,8,5,Thích yên tĩnh,"['Máy lạnh', 'Nhà vệ sinh riêng']","{'Latitude': 22.339073, 'Longitude': 106.386358}",Chương Mỹ,40,2
Hòa Bình,29,Nam,Công nhân,9,3,Không quan trọng,"['Bếp', 'Nhà vệ sinh riêng']","{'Latitude': 11.31784, 'Longitude': 102.649166}",Ba Đình,29,1
Hà Nội,27,Nữ,Công nhân,16,3,Không quan trọng,"['An ninh tốt', 'Máy lạnh']","{'Latitude': 16.374713, 'Longitude': 105.701069}",Phúc Thọ,47,1
Lạng Sơn,22,Nữ,Sinh viên,2,3,Thích yên tĩnh,"['Nội thất sẵn', 'Bếp', 'An ninh tốt', 'Máy lạnh']","{'Latitude': 9.451787, 'Longitude': 105.453669}",Phúc Thọ,20,2
Tuyên Quang,25,Nữ,Freelancer,13,5,Không quan trọng,"['An ninh tốt', 'Bếp']","{'Latitude': 19.58967, 'Longitude': 106.045529}",Cầu Giấy,18,1
Sơn La,24,Nữ,Freelancer,12,4,Thích yên tĩnh,"['Máy lạnh', 'An ninh tốt', 'Chỗ để xe']","{'Latitude': 9.192101, 'Longitude': 103.832637}",Tây Hồ,39,2
Ninh Bình,18,Nữ,Sinh viên,5,5,Thích yên tĩnh,['Máy lạnh'],"{'Latitude': 20.124227, 'Longitude': 103.591596}",Thạch Thất,15,1
Cao Bằng,32,Nam,Freelancer,7,3,Thích yên tĩnh,"['An ninh tốt', 'Máy lạnh']","{'Latitude': 15.396575, 'Longitude': 104.045082}",Thường Tín,41,1
Cao Bằng,34,Nam,Phục vụ,15,3,Không quan trọng,['Nhà vệ sinh riêng'],"{'Latitude': 17.707314, 'Longitude': 108.912116}",Hai Bà Trưng,33,3
Hà Nội,29,Nam,Công nhân,8,5,Nuôi thú cưng,"['Máy lạnh', 'Nội thất sẵn', 'Bếp']","{'Latitude': 16.885897, 'Longitude': 106.910471}",Thanh Xuân,22,4
Cao Bằng,28,Nữ,Phục vụ,7,3,Không quan trọng,"['An ninh tốt', 'Nhà vệ sinh riêng', 'Bếp', 'Máy lạnh']","{'Latitude': 22.942095, 'Longitude': 109.362336}",Hà Đông,26,3
Vĩnh Phúc,34,Nam,Nhân viên văn phòng,19,5,Nuôi thú cưng,"['Nội thất sẵn', 'Bếp', 'An ninh tốt', 'Nhà vệ sinh riêng']","{'Latitude': 21.780382, 'Longitude': 105.648368}",Quốc Oai,48,4
Lào Cai,25,Nam,Kỹ sư,20,5,Không quan trọng,"['An ninh tốt', 'Nhà vệ sinh riêng']","{'Latitude': 15.433686, 'Longitude': 102.687296}",Long Biên,47,3
Cao Bằng,19,Nam,Sinh viên,4,5,Nuôi thú cưng,"['An ninh tốt', 'Bếp', 'Nội thất sẵn']","{'Latitude': 12.11422, 'Longitude': 102.854273}",Chương Mỹ,11,1
Hưng Yên,23,Nam,Phục vụ,13,4,Không quan trọng,"['Nội thất sẵn', 'Chỗ để xe', 'Bếp', 'Nhà vệ sinh riêng']","{'Latitude': 13.880892, 'Longitude': 103.209556}",Nam Từ Liêm,27,2
Điện Biên,31,Nữ,Freelancer,20,4,Nuôi thú cưng,"['An ninh tốt', 'Nhà vệ sinh riêng', 'Máy lạnh', 'Nội thất sẵn']","{'Latitude': 16.135041, 'Longitude': 105.483495}",Ba Đình,26,3
Ninh Bình,18,Nam,Sinh viên,9,5,Không quan trọng,['Máy lạnh'],"{'Latitude': 19.870102, 'Longitude': 106.784146}",Sơn Tây,16,3
Hưng Yên,35,Nữ,Nhân viên văn phòng,20,5,Nuôi thú cưng,"['Nội thất sẵn', 'An ninh tốt', 'Bếp', 'Máy lạnh']","{'Latitude': 19.894187, 'Longitude': 103.296044}",Ba Vì,20,2
Hải Dương,29,Nam,Nhân viên văn phòng,14,5,Nuôi thú cưng,"['Máy lạnh', 'Chỗ để xe', 'Bếp']","{'Latitude': 20.647244, 'Longitude': 108.231229}",Thường Tín,38,4
Bắc Kạn,31,Nam,Nhân viên văn phòng,13,3,Không quan trọng,"['Máy lạnh', 'Nội thất sẵn', 'Chỗ để xe', 'Bếp']","{'Latitude': 14.252357, 'Longitude': 107.151339}",Thanh Trì,17,3
Bắc Giang,23,Nam,Freelancer,16,4,Thích yên tĩnh,['Bếp'],"{'Latitude': 8.21991, 'Longitude': 103.086604}",Chương Mỹ,33,2
Điện Biên,26,Nữ,Phục vụ,9,3,Không quan trọng,"['An ninh tốt', 'Chỗ để xe']","{'Latitude': 16.949862, 'Longitude': 105.436581}",Hai Bà Trưng,48,3
Điện Biên,23,Nữ,Freelancer,10,5,Không quan trọng,"['Chỗ để xe', 'Nhà vệ sinh riêng', 'An ninh tốt', 'Nội thất sẵn']","{'Latitude': 22.782694, 'Longitude': 104.779566}",Thanh Trì,50,2
Quảng Ninh,26,Nữ,Phục vụ,5,4,Thích yên tĩnh,"['Nội thất sẵn', 'An ninh tốt', 'Chỗ để xe']","{'Latitude': 23.001067, 'Longitude': 105.907621}",Hoàn Kiếm,39,2
Lai Châu,29,Nữ,Phục vụ,20,1,Không quan trọng,"['Chỗ để xe', 'An ninh tốt', 'Máy lạnh', 'Nhà vệ sinh riêng']","{'Latitude': 16.428304, 'Longitude': 106.305462}",Hoài Đức,30,4
Bắc Ninh,34,Nữ,Công nhân,5,5,Nuôi thú cưng,['Chỗ để xe'],"{'Latitude': 22.706886, 'Longitude': 104.063167}",Đan Phượng,20,1
Bắc Kạn,23,Nữ,Freelancer,10,5,Không quan trọng,"['Máy lạnh', 'Chỗ để xe']","{'Latitude': 8.466939, 'Longitude': 105.313888}",Phú Xuyên,21,4
Bắc Ninh,32,Nam,Kỹ sư,14,3,Không quan trọng,"['Chỗ để xe', 'An ninh tốt', 'Nhà vệ sinh riêng']","{'Latitude': 20.751378, 'Longitude': 108.738242}",Mỹ Đức,29,1
Hòa Bình,22,Nữ,Sinh viên,8,1,Nuôi thú cưng,"['Bếp', 'Nhà vệ sinh riêng', 'An ninh tốt']","{'Latitude': 22.779598, 'Longitude': 102.171049}",Cầu Giấy,17,1
Tuyên Quang,20,Nữ,Sinh viên,9,4,Thích yên tĩnh,"['Bếp', 'Nội thất sẵn', 'Chỗ để xe']","{'Latitude': 22.850965, 'Longitude': 102.362751}",Hà Đông,40,4
Hà Nam,24,Nam,Freelancer,15,5,Không quan trọng,"['Máy lạnh', 'An ninh tốt']","{'Latitude': 16.765596, 'Longitude': 108.092466}",Thanh Oai,38,3
Hưng Yên,21,Nam,Sinh viên,3,5,Nuôi thú cưng,"['Chỗ để xe', 'Nội thất sẵn', 'An ninh tốt']","{'Latitude': 11.262274, 'Longitude': 108.615248}",Hai Bà Trưng,33,1
Thái Nguyên,22,Nữ,Sinh viên,8,2,Thích yên tĩnh,['Nhà vệ sinh riêng'],"{'Latitude': 22.466549, 'Longitude': 104.010783}",Đông Anh,14,2
Cao Bằng,28,Nam,Công nhân,12,2,Không quan trọng,"['Bếp', 'Máy lạnh', 'Nội thất sẵn', 'Chỗ để xe']","{'Latitude': 8.251665, 'Longitude': 104.395033}",Sóc Sơn,34,1
Bắc Giang,26,Nữ,Nhân viên văn phòng,18,5,Không quan trọng,['Máy lạnh'],"{'Latitude': 14.530577, 'Longitude': 104.98466}",Gia Lâm,22,3
Hưng Yên,30,Nữ,Kỹ sư,18,4,Thích yên tĩnh,['Nhà vệ sinh riêng'],"{'Latitude': 17.057441, 'Longitude': 103.119791}",Hai Bà Trưng,46,4
Yên Bái,34,Nữ,Nhân viên văn phòng,15,2,Thích yên tĩnh,"['Nhà vệ sinh riêng', 'Chỗ để xe', 'An ninh tốt']","{'Latitude': 15.190849, 'Longitude': 105.512973}",Chương Mỹ,34,1
Quảng Ninh,26,Nam,Nhân viên văn phòng,18,2,Không quan trọng,"['Bếp', 'Nội thất sẵn']","{'Latitude': 9.662971, 'Longitude': 108.16738}",Thanh Xuân,19,2
Hưng Yên,27,Nam,Nhân viên văn phòng,13,2,Nuôi thú cưng,"['An ninh tốt', 'Bếp']","{'Latitude': 18.818606, 'Longitude': 108.009906}",Đông Anh,42,4
Quảng Ninh,32,Nam,Công nhân,8,4,Thích yên tĩnh,['Máy lạnh'],"{'Latitude': 16.423947, 'Longitude': 107.186006}",Hà Đông,19,2
Sơn La,33,Nữ,Phục vụ,7,4,Thích yên tĩnh,['An ninh tốt'],"{'Latitude': 14.652169, 'Longitude': 109.236195}",Ba Đình,10,2
Yên Bái,30,Nam,Nhân viên văn phòng,20,1,Thích yên tĩnh,['An ninh tốt'],"{'Latitude': 22.891224, 'Longitude': 103.16577}",Đan Phượng,33,3
Sơn La,28,Nữ,Kỹ sư,14,1,Nuôi thú cưng,['Nội thất sẵn'],"{'Latitude': 11.514171, 'Longitude': 106.147243}",Hà Đông,28,4
Sơn La,30,Nữ,Kỹ sư,14,4,Thích yên tĩnh,['Nội thất sẵn'],"{'Latitude': 22.591693, 'Longitude': 107.807327}",Phú Xuyên,35,3
